time,strategy,exchange,identifier,symbol,side,type,status,price,filled_quantity,multiplier,trade_cost,trade_slippage,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price_source
2024-01-22 09:30:00-05:00,MLPortfolioStrategy,,bt_1,SMH,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-22 09:30:00-05:00,MLPortfolioStrategy,,bt_2,SPY,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-22 09:30:00-05:00,MLPortfolioStrategy,,bt_3,DFEN,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-22 09:30:00-05:00,MLPortfolioStrategy,,bt_4,BTC-USD,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-22 09:30:00-05:00,MLPortfolioStrategy,,bt_5,SLV,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-22 09:30:00-05:00,MLPortfolioStrategy,,bt_6,GLD,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-22 09:30:00-05:00,MLPortfolioStrategy,,bt_3,DFEN,buy,limit,fill,21.53,77.5061,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-22 09:30:00-05:00,MLPortfolioStrategy,,bt_4,BTC-USD,buy,limit,fill,41553.65234375,0.04171751,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-22 09:30:00-05:00,MLPortfolioStrategy,,bt_5,SLV,buy,limit,fill,20.1200008392334,84.331,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-22 09:30:00-05:00,MLPortfolioStrategy,,bt_6,GLD,buy,limit,fill,187.22999572753906,9.445583725128856,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-23 09:30:00-05:00,MLPortfolioStrategy,,bt_7,BTC-USD,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-23 09:30:00-05:00,MLPortfolioStrategy,,bt_8,SMH,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-23 09:30:00-05:00,MLPortfolioStrategy,,bt_9,SPY,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-23 09:30:00-05:00,MLPortfolioStrategy,,bt_7,BTC-USD,buy,limit,fill,39518.71484375,0.0042197100000000015,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-23 09:30:00-05:00,MLPortfolioStrategy,,bt_8,SMH,buy,limit,fill,188.02000427246094,5.7718,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-23 09:30:00-05:00,MLPortfolioStrategy,,bt_9,SPY,buy,limit,fill,484.010009765625,2.8206,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-24 09:30:00-05:00,MLPortfolioStrategy,,bt_10,SLV,sell,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-24 09:30:00-05:00,MLPortfolioStrategy,,bt_11,SPY,sell,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-24 09:30:00-05:00,MLPortfolioStrategy,,bt_12,SMH,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-24 09:30:00-05:00,MLPortfolioStrategy,,bt_10,SLV,sell,limit,fill,20.979999542236328,16.381100000000004,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-24 09:30:00-05:00,MLPortfolioStrategy,,bt_11,SPY,sell,limit,fill,487.80999755859375,0.6884000000000001,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-25 09:30:00-05:00,MLPortfolioStrategy,,bt_13,GLD,sell,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-25 09:30:00-05:00,MLPortfolioStrategy,,bt_14,SLV,sell,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
